variables,hex
$blueberry-100 $blue-100,#d2e6f3
$blueberry-200 $blue-200,#a4cbe7
$blueberry-300 $blue-300,#569ed3
$blueberry-400 $blue-400,#3182bd
$blueberry-500 $blue-500,#08519c
