variables,hex
$mint-chocolate-100 $teal-100,#d1eeea
$mint-chocolate-200 $teal-200,#a8dbd9
$mint-chocolate-300 $teal-300,#7ebfc1
$mint-chocolate-400 $teal-400,#4f90a6
$mint-chocolate-500 $teal-500,#2c6075
