variables,hex
$cara-cara-100 $orange-100,#feedde
$cara-cara-200 $orange-200,#fdbe85
$cara-cara-300 $orange-300,#f68e26
$cara-cara-400 $orange-400,#e6550d
$cara-cara-500 $orange-500,#a63603
