variables,hex
$morning-glory-100 $cyan-100,#c3ecff
$morning-glory-200 $cyan-200,#89daff
$morning-glory-300 $cyan-300,#4ec7ff
$morning-glory-400 $cyan-400,#00a1eb
$morning-glory-500 $cyan-500,#0079b0
