variables,hex
$brewer-purple-100,#fcfbfd
$brewer-purple-200,#efedf5
$brewer-purple-300,#dadaeb
$brewer-purple-400,#bcbddc
$brewer-purple-500,#9e9ac8
$brewer-purple-600,#807dba
$brewer-purple-700,#6a51a3
$brewer-purple-800,#54278f
$brewer-purple-900,#3f007d
