variables,hex
$mango-100 $yellow-100,#fff4cd
$mango-200 $yellow-200,#ffe47f
$mango-300 $yellow-300,#ffd430
$mango-400 $yellow-400,#f4c100
$mango-500 $yellow-500,#cda200
