hex,variables
#762a83,$brewer-prgn-purple-400
#9970ab,$brewer-prgn-purple-300
#c2a5cf,$brewer-prgn-purple-200
#e7d4e8,$brewer-prgn-purple-100
#d9f0d3,$brewer-prgn-green-100
#a6dba0,$brewer-prgn-green-200
#5aae61,$brewer-prgn-green-300
#1b7837,$brewer-prgn-green-400
