hex,variables
#a63603,$cara-cara-plum-cara-cara-500
#e6550d,$cara-cara-plum-cara-cara-400
#f68e26,$cara-cara-plum-cara-cara-300
#fdbe85,$cara-cara-plum-cara-cara-200
#feedde,$cara-cara-plum-cara-cara-100
#dadaeb,$cara-cara-plum-plum-100
#c1b6db,$cara-cara-plum-plum-200
#9582c1,$cara-cara-plum-plum-300
#6a51a3,$cara-cara-plum-plum-400
#54278f,$cara-cara-plum-plum-500
