hex,variables
#2c6075,$mint-chocolate-mango-mint-chocolate-500
#4f90a6,$mint-chocolate-mango-mint-chocolate-400
#7ebfc1,$mint-chocolate-mango-mint-chocolate-300
#a8dbd9,$mint-chocolate-mango-mint-chocolate-200
#d1eeea,$mint-chocolate-mango-mint-chocolate-100
#fff4cd,$mint-chocolate-mango-mango-100
#ffe47f,$mint-chocolate-mango-mango-200
#ffd430,$mint-chocolate-mango-mango-300
#f4c100,$mint-chocolate-mango-mango-400
#cda200,$mint-chocolate-mango-mango-500
