hex,variables
#b2182b,$brewer-rdbu-red-400
#d6604d,$brewer-rdbu-red-300
#f4a582,$brewer-rdbu-red-200
#fddbc7,$brewer-rdbu-red-100
#d1e5f0,$brewer-rdbu-blue-100
#92c5de,$brewer-rdbu-blue-200
#4393c3,$brewer-rdbu-blue-300
#2166ac,$brewer-rdbu-blue-400
