hex,variables
#006d2c,$avocado-plum-avocado-500
#31a354,$avocado-plum-avocado-400
#74c476,$avocado-plum-avocado-300
#a1d99b,$avocado-plum-avocado-200
#c7e9c0,$avocado-plum-avocado-100
#dadaeb,$avocado-plum-plum-100
#c1b6db,$avocado-plum-plum-200
#9582c1,$avocado-plum-plum-300
#6a51a3,$avocado-plum-plum-400
#54278f,$avocado-plum-plum-500
