hex,variables
#ec2033,$pols-es-socialists
#1f8fce,$pols-es-peoples-party
#cadb2e,$pols-es-vox
#952978,$pols-es-unidas-podemos
#f26725,$pols-es-ciudadanos
#fdc218,$pols-es-erc-catalan
#d0a115,$pols-es-jxc-catalan
#008c3e,$pols-es-eaj-pnv-basque
#005e25,$pols-es-ehb-basque
