hex, variables
#d73027, $red-yellow-green-1
#f46d43, $red-yellow-green-2
#fdae61, $red-yellow-green-3
#fee08b, $red-yellow-green-4
#ffffbf, $red-yellow-green-5
#d9ef8b, $red-yellow-green-6
#a6d96a, $red-yellow-green-7
#66bd63, $red-yellow-green-8
#1a9850, $red-yellow-green-9
