hex, variables
#b2182b, $red-blue-1
#d6604d, $red-blue-2
#f4a582, $red-blue-3
#fddbc7, $red-blue-4
#d1e5f0, $red-blue-5
#92c5de, $red-blue-6
#4393c3, $red-blue-7
#2166ac, $red-blue-8
