hex,variables
#000000,$black
#6b6a6b,$gray
#ffffff,$white
#f6eb0e,$yellow
#ff8000,$orange
#c31729,$red
#476e1e,$green
#0d519f,$blue
#946eac,$purple
#b4d682,$mint $yes
#fdc218,$marigold $no
