hex,variables
#003576,$pols-us-democrat $pols-us-democrat-0
#006bb4,$pols-us-democrat-light $pols-us-democrat-1
#3ca6e4,$pols-us-democrat-lighter $pols-us-democrat-2
#97d8fd,$pols-us-democrat-lightest $pols-us-democrat-3
#fdab9e,$pols-us-republican-lightest $pols-us-republican-3
#ee665b,$pols-us-republican-lighter $pols-us-republican-2
#c42a28,$pols-us-republican-light $pols-us-republican-1
#7c0000,$pols-us-republican $pols-us-republican-0
