hex, variables
#762a83, $purple-green-1
#9970ab, $purple-green-2
#c2a5cf, $purple-green-3
#e7d4e8, $purple-green-4
#d9f0d3, $purple-green-5
#a6dba0, $purple-green-6
#5aae61, $purple-green-7
#1b7837, $purple-green-8
