variables,hex
$brew-green-100,#f7fcf5
$brew-green-200,#e5f5e0
$brew-green-300,#c7e9c0
$brew-green-400,#a1d99b
$brew-green-500,#74c476
$brew-green-600,#41ab5d
$brew-green-700,#238b45
$brew-green-800,#006d2c
$brew-green-900,#00441b
