variables,hex
$brew-purple-100,#fcfbfd
$brew-purple-200,#efedf5
$brew-purple-300,#dadaeb
$brew-purple-400,#bcbddc
$brew-purple-500,#9e9ac8
$brew-purple-600,#807dba
$brew-purple-700,#6a51a3
$brew-purple-800,#54278f
$brew-purple-900,#3f007d
