variables,hex
$gfx-cyan-100,#CFE8F9
$gfx-cyan-200,#B5DDF6
$gfx-cyan-300,#86CCF1
$gfx-cyan-400,#2AB8EB
$gfx-cyan-500,#259AC5
$gfx-cyan-600,#0C6785
