variables,hex
$gfx-olive-100,#E0EDCB
$gfx-olive-200,#D0E4AF
$gfx-olive-300,#B4D682
$gfx-olive-400,#8FC641
$gfx-olive-500,#74A535
$gfx-olive-600,#476E1E
