variables,hex
$gfx-tangerine-100,#FFECC6
$gfx-tangerine-200,#FFE3A7
$gfx-tangerine-300,#FFD576
$gfx-tangerine-400,#FDC218
$gfx-tangerine-500,#D0A115
$gfx-tangerine-600,#886A00
