variables,hex
$gfx-yellow-100,#FCF8CD
$gfx-yellow-200,#FBF5B0
$gfx-yellow-300,#F9F17E
$gfx-yellow-400,#F6EB0E
$gfx-yellow-500,#CAC313
$gfx-yellow-600,#838103
