variables,hex
$gfx-rose-100,#E9C3C8
$gfx-rose-200,#DFA4AE
$gfx-rose-300,#D17589
$gfx-rose-400,#C02460
$gfx-rose-500,#A11950
$gfx-rose-600,#6B0031
