variables,hex
$gfx-navy-100,#BCC2E0
$gfx-navy-200,#9BA4CF
$gfx-navy-300,#697CB8
$gfx-navy-400,#0F519F
$gfx-navy-500,#0A4286
$gfx-navy-600,#002459
