variables,hex
$gfx-lime-100,#EFF4CC
$gfx-lime-200,#E8EEAF
$gfx-lime-300,#DBE580
$gfx-lime-400,#CADB2E
$gfx-lime-500,#A6B626
$gfx-lime-600,#6A7812
