hex,variables
#333333,$black-lite
#cccccc,$gray-lite
#f9f9f9,$white-lite
#948072,$brown-lite
#ffd430,$yellow-lite
#f68e26,$orange-lite
#ee665b,$red-lite
#74c476,$green-lite
#569ed3,$blue-lite
#4ec7ff,$cyan-lite
#9582c1,$purple-lite
