hex,variables
#000000,$black
#666666,$gray
#ffffff,$white
#7d604c,$brown
#f4c100,$yellow
#e6550d,$orange
#de2d26,$red
#31a354,$green
#3182bd,$blue
#00a1eb,$cyan
#6a51a3,$purple
